Profile Name,Company Name,Experience,Apply By,Skills Required,Salary,Page,URL,Timestamp,City
Associate Accountant,Mantry Jarecha & Co,1 year(s),Not Found,"Accounting, GST, Tally, Taxation, Informal dress code","₹ 2,00,000 - 2,14,500",1,https://internshala.com/job/detail/associate-accountant-job-in-ahmedabad-at-mantry-jarecha-co1745380605,01-05-2025 11:13,Ahmedabad
Business Development Manager,Greenfield Resources Private Limited,1 year(s),Not Found,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Sales, Social Media Marketing, Informal dress code, Health Insurance","₹ 2,00,000 - 3,00,000",1,https://internshala.com/job/detail/business-development-manager-job-in-ahmedabad-at-greenfield-resources-private-limited1744888871,01-05-2025 11:14,Ahmedabad
E-commerce Marketplace Senior Executive,SuperDesk E-Thrust Services Private Limited,1 year(s),Not Found,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel","₹ 2,00,000 - 2,40,000",1,https://internshala.com/job/detail/e-commerce-marketplace-senior-executive-job-in-ahmedabad-at-superdesk-e-thrust-services-private-limited1744199177,01-05-2025 11:14,Ahmedabad
Junior Account Executive,Synchron Global One Source Private Limited,1 year(s),Not Found,"Accounting, MS-Excel, MS-Word, Tally, Informal dress code, 5 days a week, Free snacks & beverages, Health Insurance","₹ 2,64,000 - 3,00,000",1,https://internshala.com/job/detail/junior-account-executive-job-in-ahmedabad-at-synchron-global-one-source-private-limited1745844883,01-05-2025 11:14,Ahmedabad
International Business Development Executive,Diasimos Private Limited,1 year(s),Not Found,"Business Development, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Marketing, Marketing Strategies, Presentation skills, Sales, Informal dress code","₹ 2,16,000 - 3,30,000",1,https://internshala.com/job/detail/international-business-development-executive-job-in-ahmedabad-at-diasimos-private-limited1745914776,01-05-2025 11:14,Ahmedabad
Video Editor,Xvantage Infotech,1 year(s),Not Found,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Creativity, English Proficiency (Written), Final Cut Pro, Video Editing, Video Making, Informal dress code, 5 days a week, Free snacks & beverages","₹ 2,00,000 - 4,00,000",1,https://internshala.com/job/detail/video-editor-job-in-multiple-locations-at-xvantage-infotech1745904370,01-05-2025 11:14,Ahmedabad
Telecaller,Growthify JurisAI Private Limited,0 year(s),Not Found,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Lead Generation, MS-Excel, Negotiation, Problem Solving",Not Mentioned,1,https://internshala.com/job/detail/fresher-telecaller-job-in-ahmedabad-at-growthify-jurisai-private-limited1745843774,01-05-2025 11:14,Ahmedabad
Account Assistant,Saharan And Co,0 year(s),Not Found,Accounting,"₹ 2,00,000 - 2,10,000",1,https://internshala.com/job/detail/fresher-account-assistant-job-in-ahmedabad-at-saharan-and-co1745494898,01-05-2025 11:14,Ahmedabad
Computer Operator,Yuvii Consultancy Private Limited,0 year(s),Not Found,"MS-Excel, MS-Word, Informal dress code, 5 days a week, Health Insurance","₹ 2,00,000 - 2,40,000",1,https://internshala.com/job/detail/fresher-computer-operator-job-in-ahmedabad-at-yuvii-consultancy-private-limited1745914715,01-05-2025 11:14,Ahmedabad
Junior Interior Designer,TanuShree Designs,0 year(s),Not Found,"AutoCAD, Google SketchUp","₹ 2,16,000 - 2,40,000",1,https://internshala.com/job/detail/fresher-junior-interior-designer-job-in-ahmedabad-at-tanushree-designs1741248593,01-05-2025 11:14,Ahmedabad
